  root               1 701.87 background
  MA3                2   0.02 Medial accesory oculomotor nucleus
  PRNr               3   2.36 Pontine reticular nucleus
  FOTU               4   1.05 Folium-tuber vermis (VII)
  FL                 5   1.34 Flocculus
  alv                6   1.40 alveus
  scp                7   0.44 superior cerebelar peduncles
  CPmvl              8   0.99 Caudoputamen, medial ventral lateral
  BLAp               9   0.71 Basolateral amygdalar nucleus, posterior part
  ts                10   0.01 solitary tract
  BLAv              11   0.42 Basolateral amygdalar nucleus, ventral part
  ProS              12   1.30 Prosubiculum
  BLAa              13   0.77 Basolateral amygdalar nucleus, anterior part
  SPA               14   0.13 Subparafascicular area
  tb                15   0.30 trapezoid body
  PIR               16  11.57 Piriform area
  SNc               17   0.20 Substantia nigra, compact part
  LHA               18   2.07 Lateral hypothalamic area
  VISrl             19   1.02 Rostrolateral visual area
  P                 20   3.60 Pons
  FN                21   0.50 Fastigial nucleus
  SNr               22   1.55 Substantia nigra, reticular part
  em                23   0.11 external medullary lamina of the thalamus
  AHN               24   0.71 Anterior hypothalamic nucleus
  MOp               25  11.35 Primary motor area
  NPC               26   0.29 Nucleus of the posterior commissure
  LAV               27   0.29 Lateral vestibular nucleus
  PSTN              28   0.17 Parasubthalamic nucleus
  LSc               29   0.56 Lateral septal nucleus, caudal (caudodorsal) part
  ENTl              30   6.38 Entorhinal area, lateral part
  LSv               31   0.61 Lateral septal nucleus, ventral part
  UVU               32   2.18 Uvula (IX)
  LSr               33   1.88 Lateral septal nucleus, rostral (rostroventral) part
  MPT               34   0.04 Medial pretectal area
  PCG               35   0.54 Pontine central gray
  mp                36   0.03 mammillary peduncle
  TTd               37   0.72 Taenia tecta, dorsal part
  cbc               38   0.07 cerebellar commissure
  PRNc              39   2.35 Pontine reticular nucleus, caudal part
  ccs               40   0.74 corpus callosum, splenium
  TRN               41   0.69 Tegmental reticular nucleus
  Mml               42   0.21 Medial mammillary nucleus, lateral part
  COApl             43   1.20 Cortical amygdalar area, posterior part, lateral zone
  COApm             44   1.30 Cortical amygdalar area, posterior part, medial zone
  SIM               45   5.69 Simple lobule
  sup               46   0.03 supraoptic commissures
  ALp               47   2.43 Agranular insular area, posterior part
  och               48   0.30 optic chiasm
  CENT2             49   1.33 Lobule II
  SSp-ll            50   2.35 Primary somatosensory area, lower limb
  SCs(al)           51   0.43 Superior colliculus, superficial layers, anterior lateral
  GRN               52   2.61 Gigantocellular reticular nucleus
  IGL               53   0.07 Intergeniculate leaflet of the lateral geniculate complex
  ME                54   0.08 Median eminence
  MD                55   1.38 Mediodorsal nucleus of thalamus
  MA                56   0.36 Magnocellular nucleus
  MB                57   6.74 Midbrain
  MH                58   0.32 Medial habenula
  MT                59   0.04 Medial terminal nucleus of the accessory optic tract
  GU                60   1.77 Gustatory areas
  MV                61   1.82 Medial vestibular nucleus
  MY                62   5.29 Medulla
  INC               63   0.08 Interstitial nucleus of Cajal
  FS                64   0.43 Fundus of striatum
  PDTg              65   0.05 Posterodorsal tegmental nucleus
  ANcr1             66   5.70 Crus 1
  FC                67   0.06 Fasciola cinerea
  FF                68   0.24 Fields of Forel
  NOT               69   0.21 Nucleus of the optic tract
  PRM               70   4.88 Paramedian lobule
  icp               71   0.72 inferior cerebellar peduncle
  BST               72   1.34 Bed nuclei of the stria terminalis
  CTXsp             73   0.37 Cortical subplate
  FRP6b             74   0.00 Frontal pole, layer 6b
  AVPV              75   0.18 Anteroventral periventricular nucleus
  SPVI              76   1.85 Spinal nucleus of the trigeminal, interpolar part
  SPIV              77   0.75 Spinal vestibular nucleus
  ee                78   0.09 corpus callosum, extreme capsule
  PC5               79   0.07 Parvicellular motor 5 nucleus
  SubG              80   0.03 Subgeniculate nucleus
  IPL               81   0.10 Interpeduncular nucleus, lateral part
  V                 82   0.35 Motor nucleus of trigeminal
  OLF               83   5.04 Olfactory areas
  PPT               84   0.14 Posterior pretectal nucleus
  VMPO              85   0.05 Ventromedial preoptic nucleus
  ml                86   0.66 medial lemniscus
  MARN              87   0.53 Magnocellular reticular nucleus
  VIIn              88   0.08 facial nerve
  SI                89   3.03 Substantia innominata
  SH                90   0.04 Septohippocampal nucleus
  SO                91   0.05 Supraoptic nucleus
  LGd-sh            92   0.21 Dorsal part of the lateral geniculate complex, shell
  NTB               93   0.15 Nucleus of the trapezoid body
  SG                94   0.02 Supragenual nucleus
  SF                95   0.47 Septofimbrial nucleus
  SPFp              96   0.13 Subparafascicular nucleus, parvicellular part
  AOBgr             97   0.22 Accessory olfactory bulb, granular layer
  aco               98   0.76 anterior commissure, olfactory limb
  BAC               99   0.01 Bed nucleus of the anterior commissure
  AOBgl            100   0.15 Accessory olfactory bulb, glomerular layer
